Código,Preço,Variação,Abertura,Fechamento,Horário,Data
MRFG3,"14,61","2,6","14,56","15,01",17:07,28/08
CMIG4,"11,29","2,29","11,26","11,65",17:07,28/08
PETR3,"42,33","2,27",42,"43,52",17:07,28/08
ITUB4,"36,58","2,16","36,22","37,47",17:07,28/08
EMBR3,"45,69","1,93","45,6","46,94",17:07,28/08
ITSA4,"10,95","1,83","10,86","11,17",17:07,28/08
BBDC4,"15,42","1,62","15,17","15,77",17:07,28/08
ELET3,"41,4","1,55","41,1","42,3",17:07,28/08
TIMS3,"17,85","1,46","17,67","18,17",17:07,28/08
PETR4,"39,04","1,43","38,78","39,86",17:07,28/08
ELET6,"45,91","1,39","45,69","46,8",17:07,28/08
TAEE11,"34,74","1,38","34,6","35,27",17:07,28/08
BBDC3,"13,99","1,29","13,77","14,2",17:07,28/08
RADL3,"27,68","1,12","27,42","27,99",16:54,28/08
SANB11,"31,18","1,09",31,"31,56",17:07,28/08
LWSA3,"4,75","1,05","4,72","4,88",17:07,28/08
BPAC11,"36,03","0,92","35,54","36,42",17:07,28/08
HYPE3,"29,95","0,9","29,58","30,35",17:07,28/08
VBBR3,"25,58","0,9","25,35","25,93",17:07,28/08
BRKM5,"17,79","0,84","17,61","17,96",17:07,28/08
SUZB3,"55,62","0,83","55,4","56,26",17:07,28/08
BBAS3,"28,01","0,61","27,89","28,2",17:07,28/08
CPLE6,"10,48","0,57","10,42","10,59",17:07,28/08
BRFS3,"25,91","0,46","25,4","26,14",17:07,28/08
TRPL4,"24,67","0,45","24,53","24,78",17:07,28/08
B3SA3,"12,65","0,4","12,56","12,76",17:07,28/08
CPFE3,"32,9","0,4","32,54","33,15",17:07,28/08
ENGI11,"47,7","0,4","47,34","47,89",17:07,28/08
PETZ3,"5,28","0,38","5,16","5,3",17:07,28/08
FLRY3,"16,05","0,37","15,89","16,11",17:07,28/08
PCAR3,"3,28","0,3","3,2","3,31",17:07,28/08
CYRE3,"22,63","0,27","22,16","22,78",17:07,28/08
JBSS3,"34,97","0,17","34,77","35,15",17:07,28/08
SBSP3,"96,2","0,16","95,58","96,52",17:07,28/08
IRBR3,"48,93","0,14","48,41","49,25",17:07,28/08
VIVT3,"51,94","0,12","51,35","52,14",17:07,28/08
ALOS3,"23,7",0,"23,51","23,77",17:07,28/08
CIEL3,"5,83",0,"5,83","5,83",00:00,27/08
DXCO3,"8,19",0,"8,01","8,27",17:07,28/08
HAPV3,"4,46",0,"4,42","4,49",17:07,28/08
MRVE3,"7,75",0,"7,67","7,85",17:07,28/08
SOMA3,"5,94",0,"5,87","6,07",17:07,31/07
WEGE3,54,0,"53,69","54,57",17:07,28/08
